[-0.19033340592718023, -0.7665899281011477]
[-0.19039044496121035, -0.7665948168009428]
[-0.19037837464516405, -0.7665955252569514]
[-0.19036971931538724, -0.7665940435584055]
[-0.19037235151338866, -0.7665932446986821]
[-0.1903840946518815, -0.766590928156997]
[-0.19038851166399898, -0.7665900477169896]
[-0.19037607075503293, -0.7665871546138564]
[-0.19036537383666535, -0.7665852552473024]
[-0.19035819933434261, -0.7665867152096383]
[-0.1903595731982898, -0.766587053033807]
[-0.19035983791043032, -0.7665876119031642]
[-0.19035630508846438, -0.7665869497539299]
[-0.19033524545011454, -0.7665842563363272]
[-0.19034333881462762, -0.766583500698932]
[-0.19034450951859166, -0.7665849550017579]
[-0.1903419777766329, -0.7665857283887529]
[-0.19033506509010847, -0.7665857425133349]
[-0.19032353551122966, -0.7665850592183051]
[-0.19032495831388324, -0.7665861369104425]
[-0.19032371678754836, -0.7665839480805718]
[-0.1903252703893948, -0.7665832995344727]
[-0.190323842600483, -0.766584542044447]
[-0.19030361526405482, -0.7665853319675653]
[-0.19029574438834626, -0.7665874086254211]
[-0.1902811939320106, -0.7665873711800446]
[-0.19026258476705624, -0.7665864310523864]
[-0.1902635627571349, -0.7665862430173485]
[-0.1902708504644695, -0.7665877621317843]
[-0.19026548833660914, -0.7665858763628384]
[-0.19026794879404835, -0.766585246148696]
[-0.19026199436889724, -0.76658676978118]
[-0.1902654762034339, -0.7665863175509903]
[-0.1902564896710962, -0.7665875513449265]
[-0.19026428214772106, -0.7665876259384433]
[-0.19026541075038894, -0.7665892168455612]
[-0.19026232132148282, -0.766587814698295]
[-0.19026405166806323, -0.766586118829168]
[-0.19026528070036416, -0.7665848015175848]
[-0.19027092974252136, -0.7665866771881206]
[-0.1902428805284287, -0.7665833883609361]
[-0.1902421718263474, -0.7665830685751913]
[-0.19025032863471006, -0.7665823602564256]
[-0.19024428950644603, -0.766582213552829]
[-0.1902537197304315, -0.7665828715764874]
[-0.1902175741945386, -0.7665801492084746]
[-0.19021001113273897, -0.7665812689555698]
[-0.190193651519413, -0.7665820068977197]
[-0.1902133611574945, -0.766583670848375]
[-0.1902249764047667, -0.7665842091694619]
[-0.1902642843776918, -0.7665892551223691]
[-0.1902278890109088, -0.7665840282600824]
[-0.19024446190979458, -0.7665875587658058]
[-0.190259911032469, -0.7665913140765197]
[-0.19027605774674752, -0.7665908176812163]
[-0.1902629162054576, -0.7665911092540924]
[-0.19027283386895844, -0.7665953398053598]
[-0.19024299191110303, -0.7665915695557814]
[-0.19029366289405694, -0.7665967151812032]
[-0.19029992102308002, -0.7665968689844647]
[-0.19032801180075826, -0.7666011479366481]
[-0.19039725093816265, -0.7666111230136351]
[-0.190405505658478, -0.7666149638171341]
[-0.19042116647242044, -0.7666123951125624]
[-0.19042719706269548, -0.7666104750411484]
[-0.19047087776669094, -0.7666162093276291]
[-0.19043762711899537, -0.7666119402359088]
[-0.19042020261754322, -0.766610698799358]
[-0.19030947677931495, -0.7665993113298232]
[-0.19030447151636962, -0.7666010310515305]
[-0.19041527375419898, -0.7666125255932303]
[-0.19041296955543432, -0.7666119873798918]
[-0.1904783209658665, -0.7666202577886914]
[-0.19051127340296925, -0.7666232222817266]
[-0.19051684387535442, -0.7666227362248259]
[-0.1905827456410362, -0.7666262194523399]
[-0.19058979583130534, -0.7666276717384433]
[-0.19061071481030387, -0.7666290163162175]
[-0.19067824305267028, -0.7666348330784648]
[-0.19081081781797093, -0.7666539190894475]
[-0.1908054600360805, -0.7666544158862413]
[-0.19090295449766104, -0.7666653761829259]
[-0.19090933809604582, -0.7666670596919418]
[-0.1908954604773611, -0.7666624107833949]
[-0.19081409628016102, -0.7666530158425372]
[-0.19073963884821327, -0.7666491750109381]
[-0.19083269837531527, -0.7666615935686095]
[-0.1908159713616105, -0.7666579884112561]
[-0.1908131256221814, -0.7666563991665357]
[-0.19097759772385048, -0.7666778682238203]
[-0.19091860741915606, -0.7666728299585678]
[-0.1908780694408628, -0.7666651830104514]
[-0.19105328125317284, -0.7666865137930133]
[-0.1910596480091012, -0.7666861323656353]
[-0.1910432645217675, -0.7666829442257643]
[-0.19104237337060098, -0.766682734390107]
[-0.19099532133774139, -0.7666792101558042]
[-0.19111911599265766, -0.766694236048417]
[-0.19101156687990423, -0.7666789248421371]
[-0.19102337190069757, -0.7666788395782828]
[-0.19100206127184968, -0.7666795481438843]
[-0.1901970086411996, -0.766578583062171]
[-0.19053084267985312, -0.7666246050209299]
[-0.19089468940320212, -0.7666696929497576]
[-0.19087533401022666, -0.7666677657920657]
[-0.19053526737076337, -0.7666215285000016]
[-0.19065697980465052, -0.766637341154251]
[-0.1907283558374798, -0.7666472437406745]
[-0.19073606573629717, -0.7666467084640896]
[-0.19080292965553167, -0.7666548160057814]
[-0.19096818768402482, -0.7666742678443352]
[-0.191173011352683, -0.7666985639196147]
[-0.19102067894037558, -0.7666804705797399]
[-0.19099115106292414, -0.7666770842273067]
[-0.19086798178951844, -0.7666605014053282]
[-0.19073012257874594, -0.766642654092469]
[-0.19073871786502075, -0.7666445236903235]
[-0.19073821385996695, -0.766641707368945]
[-0.1908533775942048, -0.7666569781970539]
[-0.1908026431809696, -0.7666511920644731]
[-0.1908486468145835, -0.7666606367694908]
[-0.19081190914105384, -0.7666555215786124]
[-0.19085255115260633, -0.7666593213688031]
[-0.19085483170791961, -0.7666590504074512]
[-0.19088278037344023, -0.7666650405069682]
[-0.19088044302065757, -0.7666652018167552]
[-0.1910068365607144, -0.766679575716248]
[-0.1910132984260843, -0.7666787942439549]
[-0.19100192113940384, -0.766674006143797]
[-0.1910271063255793, -0.7666780057538232]
[-0.19103534015547488, -0.7666752644745995]
[-0.19104015844903985, -0.7666773488653688]
[-0.19106788937481672, -0.7666793150825104]
[-0.19109107267418832, -0.7666788755968661]
[-0.19109803381355042, -0.7666772136203004]
[-0.19109184687359315, -0.7666754176128071]
[-0.191100618779793, -0.7666772383937313]
[-0.19107973269508094, -0.7666730766796204]
[-0.19111583359107762, -0.7666793470177412]
[-0.19111029993636536, -0.7666770080356284]
[-0.19109228557216673, -0.7666759321576841]
[-0.19109175861041788, -0.7666719941762058]
[-0.19114776594348898, -0.7666775365653389]
[-0.19114328864247287, -0.7666746759553797]
[-0.19115394492106497, -0.7666726906085525]
[-0.19122170944265296, -0.766679845133409]
[-0.19128686460339647, -0.7666884180091591]
[-0.19132890774098713, -0.7666938410250949]
[-0.19130328974626454, -0.7666886449757163]
[-0.1912848324401863, -0.766684679194456]
[-0.1912689727105018, -0.7666817991817015]
[-0.19129552963083327, -0.7666871935733233]
[-0.19129398897701738, -0.766686524156882]
[-0.19132907355576628, -0.7666929211484629]
[-0.1912815644486495, -0.7666855819465741]
[-0.19125377847761915, -0.7666785610976546]
[-0.19127562724938865, -0.7666809667215798]
[-0.1913364899677269, -0.7666874426490202]
[-0.19135267597367484, -0.7666879183294072]
[-0.19137497371129894, -0.7666905197556634]
[-0.19138909029874468, -0.7666954746658597]
[-0.1913856074499231, -0.7666938011699175]
[-0.19135051867409647, -0.766691919049419]
[-0.19133770746730785, -0.766688319643587]
[-0.1912826384316965, -0.766680919170098]
[-0.1912665821313879, -0.7666793432909232]
[-0.19126986812810604, -0.7666801285658696]
[-0.19127479114840104, -0.7666811819679491]
[-0.1912816738355301, -0.766681480227697]
[-0.19126339456670263, -0.7666797238515944]
[-0.19127194151912333, -0.7666795328804425]
[-0.19127250156108122, -0.7666785115599853]
[-0.19124961802005055, -0.7666715465191849]
[-0.19125879298811876, -0.7666740138233492]
[-0.1912538422830593, -0.7666747841947591]
[-0.19122033288158805, -0.7666726169302986]
[-0.19121939219810571, -0.7666736733899642]
[-0.19120997822199895, -0.7666735232752858]
[-0.19117378243535943, -0.7666669683512322]
[-0.19118878481801443, -0.7666664984013333]
[-0.19118863535095423, -0.7666662858933212]
[-0.19119511350212262, -0.7666662505790837]
[-0.19117589358165357, -0.7666631680039147]
[-0.1911697905980158, -0.7666645470645349]
[-0.19115626695235657, -0.7666643238338904]
[-0.19112979600529834, -0.7666621622281489]
[-0.19113176069339788, -0.7666622851741003]
[-0.19114576050355686, -0.7666648925163362]
[-0.19116302002671678, -0.7666667258649421]
[-0.19117856616812504, -0.7666673069661815]
[-0.1911959271077274, -0.7666701152949166]
[-0.19120359797314182, -0.766669147420578]
[-0.1912035129159421, -0.7666708607636968]
[-0.19122870232544775, -0.7666750413664917]
[-0.19121699138867218, -0.7666757321791807]
[-0.19122204804286222, -0.7666730543682135]
[-0.1912459785837408, -0.7666739237479097]
[-0.19121496072251432, -0.7666732462991591]
[-0.19120720340736547, -0.7666730463671354]
[-0.19122714627032175, -0.7666746894181727]
[-0.1912104221129033, -0.7666719684219866]
[-0.19113375285399156, -0.7666622750968357]
[-0.19136408257573514, -0.766689560614195]
[-0.19113873962934996, -0.7666635634190772]
[-0.1910467525202401, -0.7666522193082471]
[-0.19118406323552412, -0.766670657087307]
[-0.1911738320424945, -0.7666682719647805]
[-0.1911297638604256, -0.7666636126762978]
[-0.1910636823972777, -0.7666542013872779]
[-0.19113533202332944, -0.7666648142069866]
[-0.19115548444464386, -0.7666691634690642]
[-0.19120237789072067, -0.7666762916921112]
[-0.19127279119565285, -0.7666811948752092]
[-0.1913152748801682, -0.7666876333485753]
[-0.19134006134472978, -0.766691914610082]
[-0.19135677573216278, -0.7666925678052385]
[-0.19133104640162138, -0.7666909735768095]
[-0.1913170301721206, -0.766690001897847]
[-0.1912863793461177, -0.7666883558303684]
[-0.19132026397134927, -0.7666901107977465]
[-0.19133083887791041, -0.7666942859863546]
[-0.19139346662578713, -0.7666984864147157]
[-0.19136684874383722, -0.7666955548717515]
[-0.19134815299893373, -0.7666945966911217]
[-0.19136108602514207, -0.7666947175742597]
[-0.19132794681407206, -0.7666895771108768]
[-0.1913352034905681, -0.7666902808937501]
[-0.19133742366657122, -0.766688331511629]
[-0.19131208576145037, -0.7666876380048616]
[-0.191303072864781, -0.7666859444731694]
[-0.19130704643582672, -0.766687053665523]
[-0.19131326406030788, -0.7666894036915801]
[-0.19132932030062033, -0.7666897884314402]
[-0.19132760954072253, -0.7666873454112577]
[-0.19130827378148244, -0.766684106913035]
[-0.19130585942124695, -0.7666837874036656]
[-0.19130259159418958, -0.766684188734286]
[-0.19128540875906644, -0.7666859104984518]
[-0.19128634914840664, -0.7666884891838327]
[-0.1912664289958483, -0.7666879690574033]
[-0.19126565734281273, -0.7666877286412453]
[-0.19128240293631885, -0.7666893154456593]
[-0.19128240893539983, -0.76668906323931]
[-0.19129015170268138, -0.7666897054585181]
[-0.19124297177234686, -0.7666866652837403]
[-0.19124524704622461, -0.7666870834535587]
[-0.19125606041328827, -0.7666881266737349]
[-0.19127891293420027, -0.7666891472972822]
[-0.19130379606355735, -0.7666930911102513]
[-0.19131964026519305, -0.7666925272126456]
[-0.19132275916656274, -0.7666906600358302]
[-0.19131267811491925, -0.7666914959143216]
[-0.1913251437248702, -0.7666913624241602]
[-0.191338359628009, -0.7666925392678227]
[-0.19134389828154627, -0.7666940608957322]
[-0.19135486163788862, -0.7666950022607846]
[-0.19134834402452, -0.7666928555373675]
[-0.1913490882795335, -0.7666913480968051]
[-0.19134957498155106, -0.7666923514081737]
[-0.1913444880382934, -0.7666937845614243]
[-0.19131675278203952, -0.7666925803089382]
[-0.19131991444003663, -0.7666893855332166]
[-0.1913310390910573, -0.7666890329475828]
[-0.19132604669789655, -0.7666892511737778]
[-0.19130360550682787, -0.7666848680927221]
[-0.19129426232266653, -0.7666858905086538]
[-0.1912891975767076, -0.7666877570143805]
[-0.1912687058425433, -0.7666875090810269]
[-0.19125175999851066, -0.7666859740021176]
[-0.19122814159992355, -0.7666830201333747]
[-0.19122836004813376, -0.7666800180322806]
[-0.19122268796870265, -0.7666772142373662]
[-0.19122580905269737, -0.766680109247962]
[-0.1912243571359413, -0.7666803571860559]
[-0.19121710783596774, -0.766677707963721]
[-0.19120409932017074, -0.7666782303301455]
[-0.19118887306214039, -0.7666773799006548]
[-0.1912087321174434, -0.7666788570945878]
[-0.19116488053808497, -0.7666752716015237]
[-0.19117357881591526, -0.7666775495457265]
[-0.19119715146351723, -0.7666799529923651]
[-0.1911911475465214, -0.7666799287741375]
[-0.19119085975494915, -0.766680817120463]
[-0.19119321358829092, -0.7666813398204064]
[-0.19120142822974742, -0.7666824878426555]
[-0.1911733433632785, -0.7666785489975371]
[-0.19117591591482294, -0.7666793295240949]
[-0.19118761857216646, -0.7666790807199568]
[-0.1912024531292137, -0.7666792160531001]
[-0.19123270596074687, -0.7666818449629784]
[-0.1912587786604296, -0.7666852964126146]
[-0.19125698578322015, -0.7666838146490966]
[-0.1912485395938183, -0.7666833531427086]
[-0.19123131186140352, -0.7666814511777688]
[-0.19124505890921698, -0.7666799231121776]
[-0.19124602782140837, -0.7666761026995761]
[-0.19124383861564787, -0.7666772915354293]
[-0.19125654350135746, -0.7666803559137398]
[-0.19125186643197264, -0.7666785500779967]
[-0.1912542907035385, -0.7666793681891396]
[-0.19124604089622863, -0.7666797964214528]
[-0.19147076817342693, -0.7667110644281817]
